Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets
2024-05-08,Rome,red-clay,"Nishioka, Yoshihito",80,721,"Ofner, Sebastian",46,1036,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]], [[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]"
2024-05-08,Rome,red-clay,"Borges, Nuno",53,931,"Martinez, Pedro",51,937,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[0, 1], [1, 1], [2, 1]]"
2024-05-08,Rome,red-clay,"Darderi, Luciano",54,918,"Shapovalov, Denis",126,505,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[0, 1], [1, 1], [2, 1]]"
2024-05-08,Rome,red-clay,"Zhang, Zhizhen",56,868,"Galan, Daniel Elahi",90,656,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]], [[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]"
2024-05-08,Rome,red-clay,"Mensik, Jakub",65,809,"Hanfmann, Yannick",59,848,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-05-08,Rome,red-clay,"Kotov, Pavel",63,819,"Michelsen, Alex",69,798,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]]","[[1, 0], [2, 0]]"
2024-05-08,Rome,red-clay,"Marterer, Maximilian",98,616,"Cobolli, Flavio",57,868,3,"[[[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-05-08,Rome,red-clay,"Thiago, Monteiro",106,590,"Monfils, Gael",38,1145,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]"
2024-05-08,Rome,red-clay,"Shevchenko, Alexander",60,848,"Marozsan, Fabian",36,1179,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]"
2024-05-08,Rome,red-clay,"Rinderknech, Arthur",73,754,"Passaro, Francesco",240,248,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]"
2024-05-08,Rome,red-clay,"Eubanks, Christopher",43,1053,"Atmane, Terence",137,463,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
2024-05-08,Rome,red-clay,"Schwartzman, Diego S.",142,439,"Vukic, Aleksandar",70,792,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-05-07,"Rome, Qualifying",red-clay,"Alves, Felipe",132,487,"Barrere, Gregoire",115,560,3,"[[[0, 1], [0, 2], [0, 3], [0, 4], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-05-07,"Rome, Qualifying",red-clay,"Atmane, Terence",137,463,"Mayot, Harold",130,499,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [1, 1], [2, 1]]"
2024-05-07,"Rome, Qualifying",red-clay,"Passaro, Francesco",240,248,"Ajdukovic, Duje",129,500,3,"[[[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]"
2024-05-07,"Rome, Qualifying",red-clay,"Kukushkin, Mikhail",134,482,"Schwartzman, Diego S.",142,439,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-05-07,"Rome, Qualifying",red-clay,"Moutet, Corentin",83,715,"Thiago, Monteiro",106,590,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
2024-05-07,"Rome, Qualifying",red-clay,"Marterer, Maximilian",98,616,"Gasquet, Richard",113,565,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]"
2024-05-07,"Rome, Qualifying",red-clay,"Albot, Radu",135,468,"Muller, Alexandre",109,577,3,"[[[1, 0], [2, 0], [3, 0], [3, 1], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]], [[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-05-07,"Rome, Qualifying",red-clay,"Bergs, Zizou",108,581,"Shang, Juncheng",105,590,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]]]","[[1, 0], [2, 0]]"
2024-05-07,"Rome, Qualifying",red-clay,"Bagnis, Facundo",119,541,"Van De Zandschulp, Botic",112,565,3,"[[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]]]","[[0, 1], [0, 2]]"
2024-05-07,"Rome, Qualifying",red-clay,"Wolf, Jeffrey John",101,605,"Medjedovic, Hamad",121,522,3,"[[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 5], [1, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
