RankNo,Name,Points,Movement,PlayerId,Year,courtType,Age,HeightCm,WeightKg,PlayHand,SglHiRank,SglCareerWon,SglCareerLost,SglYtdWon,SglYtdLost,SglHiRankDate,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsSavedPercentage,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsConvertedPercentage,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
1,Jannik Sinner,"9,890",0,S0AG,2022,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,57,76,60,65,88,69,29,50,34,20,37,52
1,Jannik Sinner,"9,890",0,S0AG,2022,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,57,73,53,65,83,64,34,56,44,32,42,53
1,Jannik Sinner,"9,890",0,S0AG,2022,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,59,75,52,61,82,65,32,52,41,26,40,53
1,Jannik Sinner,"9,890",0,S0AG,2022,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,58,74,53,63,83,66,32,53,41,27,40,53
1,Jannik Sinner,"9,890",0,S0AG,2023,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,58,80,59,73,91,71,31,52,30,24,39,54
1,Jannik Sinner,"9,890",0,S0AG,2023,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,58,71,57,65,81,65,37,57,50,38,45,55
1,Jannik Sinner,"9,890",0,S0AG,2023,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,61,77,56,70,88,68,32,54,44,29,41,54
1,Jannik Sinner,"9,890",0,S0AG,2023,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,76,57,69,87,68,33,54,42,29,41,54
1,Jannik Sinner,"9,890",0,S0AG,2024,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,66,83,59,78,97,74,28,51,24,15,36,53
1,Jannik Sinner,"9,890",0,S0AG,2024,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,62,79,54,69,88,69,35,54,48,33,43,55
1,Jannik Sinner,"9,890",0,S0AG,2024,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,62,79,60,80,94,72,33,57,45,31,41,56
1,Jannik Sinner,"9,890",0,S0AG,2024,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,63,79,58,76,92,71,33,55,43,29,41,55
1,Jannik Sinner,"9,890",0,S0AG,all,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,59,78,57,65,88,69,29,51,32,21,38,52
1,Jannik Sinner,"9,890",0,S0AG,all,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,71,53,62,80,64,35,54,47,32,42,53
1,Jannik Sinner,"9,890",0,S0AG,all,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,75,54,69,86,67,32,53,42,27,40,53
1,Jannik Sinner,"9,890",0,S0AG,all,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,74,54,66,84,66,32,53,43,27,40,53
2,Novak Djokovic,"8,360",1,D643,2022,Grass,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,63,82,57,65,90,73,32,57,40,29,42,56
2,Novak Djokovic,"8,360",1,D643,2022,Clay,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,66,71,54,66,82,65,35,55,41,31,42,54
2,Novak Djokovic,"8,360",1,D643,2022,Hard,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,67,81,58,59,91,74,31,56,45,26,40,56
